Content,Sentiment_category_human_labeled,Key-phrase_human_labeled,Summary_human_labeled
"A huge store full of everything from the Lego brand in a huge shopping mall in London, there are all kinds of Lego creations, it is possible to buy certain parts according to choice, and there are a lot of options in the place, a dream store for children to visit the place, highly recommended, the prices are not cheap at all",Positive,"Highly recommended, the prices are not cheap at all.","The customer found the store staff empathetic and friendly, as they helped them purchase only specific elements from the display window instead of the entire set."
"Good variety of legos, some of them I had never seen before. For a creative mind, Lego is a good outlet. At the same time, I think in order to make money, Lego is coming up with pieces to build a specific design, that puts some restrictions on the creativity, as specific pieces are to be used as per the design given",Neutral,"Good variety of legos, some of them I had never seen before.","The customer had mixed feelings about the store, as they found the stock satisfactory but considered LEGO’s modular product design to be exploitative."
"Great staff! We went on boxing day and they were out of a lot, understandably so, so we asked an employee for the catalogue to order from and even though they were super busy he went to the back and found a catalogue for us to browse through. Definitely would recommend this location for a friendly experience.",Positive,Definitely would recommend this location for a friendly experience.,"The customer found the staff extremely helpful, as they assisted them even when the store was very busy."
"A great experience for all the family. Well stocked with display and interactive table for all to get involved with building/ making before purchase. We like to pop in during shopping trips for the kids to be stimulated by the create and play tables. Staff are always knowledgeable, welcoming and helpful",Positive,"Staff are always knowledgeable, welcoming and helpful.",The customer had a great time in the store with their family as they could try out and play Lego before purchasing it.
"What excellent service. I apologise as I have forgotten his name but the manager-- I believe he was Spanish and perhaps called Alberto, he was an absolute legend, friendly helpful and professional, what an absolute diamond. He helped me swap a set of lego someone got me as a gift that I already had.",Positive,What excellent service.,"The customer found one of the Spanish staff members, Alberto, very helpful and professional while assisting him."
"Bright, colourful, excellent staff - especially a lovely lady called Tahmina - above my expectations and a fun Easter egg hunt around the displays (even if I'm a bit old for it). It was expensive but thats how Lego is but for a smaller store it was definitely worth it!",Positive,"Bright, colourful, excellent staff.","The customer found the staff excellent and was pleased with the Easter egg hunt, though they felt the store was too expensive."
One member of staff who I did not get the name of was amazing he helped my 5 year old son get his lego book. He searched high and low for a good amount of time. He made my sons first lego shop experience amazing. Can't thank you enough. Really appreciate the service🤩,Positive,He made my sons first lego shop experience amazing.,The staff made the first Lego experience of the customer's son great.
Staff welcome you when you go in. Always offering to help if needed.There are lots of sets of Lego to view. Some for kids and some for adults.There's also a place to experiment with some of the bricks.Always an enjoyable place to visit.,Neutral,Staff welcome you when you go in. Always offering to help if needed.," The customer describes the store as welcoming and enjoyable, praising the helpful staff, wide range of LEGO sets for all ages."
I didn't buy anything from this store but i must commend the staff here. They were really brilliant looking after my 3yr old after she strayed away for 1hr. They kept watch on her and made sure she was safe. Thanks very much.,Positive,They kept watch on her and made sure she was safe.,The staff watched out for the 3 year old child of the customer for an hour who did not buy anything.
LEGO Stores are a special place to find incredible sets and get inspired about what to build next. The staff at Stratford are friendly and very helpful and will go out of their way to find you the minifigure you want.,Neutral,LEGO Stores are a special place to find incredible sets and get inspired about what to build next.,The customer finds Lego stores inspiring and found the staff helpful.
"Staff at this Lego store are really serious about making it a fun place to visit. My kids and I had a wonderful time going back again and again, and the staff were welcoming and super friendly. We’ll be back soon!",Positive,Staff at this Lego store are really serious about making it a fun place to visit.,The customer found the store great to visit with children and the staff helpful.
"Lego shops are way more expensive than buying lego elsewhere so I usually avoid them but the staff in this one were really lovely and helpful, very friendly and I ended up spending a small fortune (like you do)",Neutral,Lego shops are way more expensive than buying lego elsewhere so I usually avoid them but the staff in this one were really lovely and helpful.,The customer appreciates the great customer service but finds the products too expensive and spent a small fortune.
"Wow,I love the logo store...if I had thousands to spend this is where I'd blow it.Some amazing new sets out,staff are always great and friendly.Hate walking past and not going in for a gander.Awesome sauce!",Positive,"Some amazing new sets out,staff are always great and friendly.",The customer appreciates the great customer service but finds the products too expensive and spent a small fortune.
"Omg. I love Lego, this place has Lego. It even has a pick and mix, staff very friendly and helpful. There are models made up behind screens so you can see what they look like, very well thought out",Positive,"There are models made up behind screens so you can see what they look like, very well thought out.",The customer was satisfied with the store's designe and the wide range of products.
"Never normally leave reviews but was really good service. Peter was exceptional, came to make sure we were looked after. Really talkative and helpful and a real people person. A credit to Lego",Positive,"Peter was exceptional, came to make sure we were looked after.",The customer was exceptionally satisfied with the helpfullness and the friendliness of the staff.
Get taken back to your childhood... Love Lego. The new range of builds from cars to Star Wars to vintage gaming hardware. It's all there. Happy friendly staff too. Greeting you with a smile.,Positive,The new range of builds from cars to Star Wars to vintage gaming hardware. Happy friendly staff too.,"The store brought out the customer’s inner child, who could found all the Lego sets they were looking for, while they found the staff friendly and welcoming."
This was my first visit to this leg store. I was very impressed with how well laid out it was. It was very clean and the staff friendly and helpful. There was also a very good choice of stock,Positive,It was very clean and the staff friendly and helpful.,The customer appreciated the helpfulness of the staff and was pleasantly surprised by the store’s excellent layout.
"Lego stores always have such great customer service. From the person at the door welcoming you, to the members of staff helping you find the items you are looking for. Lovely experience.",Positive,Lego stores always have such great customer service.,The customer was exceptionally satisfied with the helpfullness and the friendliness of the staff.
"Selling £785 of Lego to a teenager? Half of his CTF gone. Too many incentives/freebies to entice. More than he could carry to the hotel, let alone to the north east with luggage?",Negative,Too many incentives/freebies to entice.,The reviewer was upset that his son bought too many LEGO products and blamed the store for it.
"Lovely helpful staff. Always happy to assist you. Great presentation of stock. Clean, very tidy, and also has a lego/duplo section for children to play with. Great shop to visit.",Positive,Lovely helpful staff. Great presentation of stock.,"The customer was satisfied with the staff, the store’s interior, and the availability of Duplo products."
"Son always loves to visit Lego and we always end it up buying something,only downsize is for parents that have to wait long time in their feet while childrens are building lego",Neutral,Only downsize is for parents that have to wait long time in their feet while childrens are building lego.,The son of the customer loves the store but the customer has to stand on feet in the store too long.
Another store of the famous brand Lego. The store contains different types of Lego pieces. It was very crowded may be due to the weekend. It was not arranged as other branches,Negative,It was very crowded may be due to the weekend. It was not arranged as other branches.,The customer found the store not as busy as expected and was satisfied with product availability.
"Is not same like Leicester Square, here they have different pieces all the time for the refills. And the team very practicall and helpful. I do like much more this one.",Positive,And the team very practicall and helpful.,The customer was suprised by the wide range of Lego stock and prefers this location over the other nearby Lego store.
"I visited this LEGO store during Christmas. Despite the holiday rush, the store was not as crowded as I had imagined it would be. The LEGO Santa display wasso lovely.",Positive,"Despite the holiday rush, the store was not as crowded as I had imagined it would be.",The customer found the store not as busy as expected and was loved the christmas Lego display very much.
"Being a massive Lego fan, this was a must. Bit gutted they had no Halloween minifigures or models left. I don't get to visit the lego stores much, but had fun here",Negative,Bit gutted they had no Halloween minifigures or models left.,The customer was a bit gutted as they did not have any Haloween minifigures on stock when visited the store.
"Great little store, staff are friendly, good selection of Lego mario sets, I like the pick n mix Lego wall at the back of the store! Very handy for free building!",Positive,"Great little store, staff are friendly.","The customer was satisfied with the staff and the store’s stock, and also appreciated the Pick-a-Brick Lego wall."
Make sure you plan enough time visiting with children as they want to see all the toys and then can't chose which one to buy. Sadly play area closed currently.,Negative,Make sure you plan enough time visiting with children.,"The customer pointed out that visiting the store with children takes too much time, and also complained that the play area was closed."
"What is there not to like. It's a store full of lego. Completely brought out my inner child. Friendly and welcoming staff, a really clean store and just great.",Positive,"Friendly and welcoming staff, a really clean store and just great.",The store brought out the customer’s inner child and was praised for its cleanliness and wide selection of LEGO sets.
My Grandchildren loved it. They got a Lego board each and shared a small pot of Lego pieces. They also enjoyed playing with Lego pieces while their Mum paid.,Positive,My Grandchildren loved it.,The grandchild of the customer loved the place.
"Great selection of range of lego themes. I loved the build your own characters station, and thought it was reasonably priced. Friendly and helpful staff.",Positive,Great selection of range of lego themes.,"The customer claims that the store has a wide range of Lego stock, while they are reasonably priced and the staff is friendly."
"The staff here are always so enthusiastic, I love popping into the store when in the area and seeing what great products Lego have released Recently.",Positive,"The staff here are always so enthusiastic, I love popping into the store when in the area.",The customer found the staff great and was satisfied with the products as well. They always visit it when around the neighbourhood.
"Lovely shop and great experience. Even though it's small by Lego standards, they have good inventory and very courteous staff. Knowledgeable too.",Positive,Lovely shop and great experience.,The customer had a great time in the store.
We connected. It's a building block to a better world. Joking aside the staff are always friendly and it's a good place to visit with young kids.,Positive,The staff are always friendly and it's a good place to visit with young kids.,The customer found the place great to visit it with children while the staff was friendly.
Kids love coming here. Loads of lego they can play with and the staff dont pressure you to buy anything they just let the kids play and have fun.,Positive,Loads of lego they can play with and the staff dont pressure you to buy anything.,The customer apprevciates that the staff is not too pushy while the children are having a good time there.
So wonderful.. We managed to find all the Lego varieties we were searching for.. It only deals with Lego products. They have very helpful staff.,Positive,They have very helpful staff.,The customer found all products they were looking for while the staff was friendly.
"Always drop in on my trips to Stratford and never leave empty-handed. Lovely, bright and welcoming shop with great staff. My son loves it too.",Positive,"Lovely, bright and welcoming shop with great staff.",The customer like the store and found the staff welcoming.
"Amazing staff, always happy to help . My kids were happy , we will love to go back . 5/5 superb service.",Positive,"My kids were happy , we will love to go back. 5/5 superb service.",The customer rates the store 5 out of 5 as the staff is always friendly and their children are having a good time there.
"Massive thanks for Harry and other amazing staff over there, u guys ROCK! Service amazing u guys amazing",Neutral,Massive thanks for Harry and other amazing staff over there.,The customer was amazed by the friendliness of the staff.
Surprised by the small range of Star Wars toys and other ranges. But blown away by the Lego Pick n Mix.,Negative,Surprised by the small range of Star Wars toys and other ranges.,The customer was suprised by the limited Star Wars Lego stock but was satisfied with the availability of other product lines.
Great shop for anything Lego can even buy cups of Lego bricks. The sets can get pricey saw one for £100,Neutral,The sets can get pricey saw one for £100.,The customer liked thenproducts and the store itself but found it too pricey.
"Sara and callum gave me and my friend amazing customer service, callus was very welcoming and helpful:)",Neutral,Sara and callum gave me and my friend amazing customer service,The customer found the staff great.
Strange little shop - usually seems to be more of a play area for small children building lego figures.,Negative,Strange little shop.,The customer found the play area too small.
Good for kids it's painful for parents. Convenient location though and my kid is nuts about it 😀,Positive,Convenient location though and my kid is nuts about it.,The customer claims that the store great for children but too expensive.
"Great selection but still pricy, great entertainment for the kids as they have a building station",Neutral,Great selection but still pricy.,The customer claims that the store great for children but too expensive.
"Great and helpful staff, especially Olga, when it came to a missing piece of mine. Thank you!",Positive,Great and helpful staff.,The customer found the staff great.
Staff are very attentive. They take time to explain to children with patience and a smile 😁,Positive,Staff are very attentive.,The staff handled the customer’s children with patience and friendliness.
"Much quieter than other lego shop, cheap prices and lots of choice. Great shop in Westfield",Positive,"Much quieter than other lego shop, cheap prices and lots of choice.",The customer found the store cheaper and quiter than other Lego stores.
Loved this place. Friendly staff and maintained very well.. my daughter's favourite place..,Positive,Friendly staff and maintained very well.,"This place is the customer’s daughter’s favorite, as the staff are friendly and the store is well-maintained."
"I created my own Lego here, small store and full of kids but so many nice Lego models here",Neutral,Small store and full of kids but so many nice Lego models here.,"The customer was satisfied with product availability, but it is always busy with kids."
This shop no matter how old you are makes you feel like the inner child you once were,Positive,Makes you feel like the inner child.,The store brought out the customer’s inner child.
"Great Lego store with a lot of nice new Lego , and the staff is really great. Thanks",Neutral,Great Lego store with a lot of nice new Lego.,The customer found the staff great and was satisfied with the products as well.
pleasant. friendly staff. you know what your getting in lego service never changes,Positive,Friendly staff.,The customer found the staff pleasent and the quality of the service consistent over time.
"Welcoming enthusiastic team, great choice, and great to completed models on display",Neutral,"Welcoming enthusiastic team, great choice.",The customer found the staff pleasent and liked the displayed Lego sets.
If I had lots of money and lots of space I would buy all the beautiful lego sets.,Neutral,I would buy all the beautiful lego sets.,The customer would buy more Lego if they had more money.
Excellent store. New item released today on website was available in store too.,Positive,Excellent store.,The customer found a newly released set in the store.
"Absolutely fine for a lot of lego, more choice in the Lestersquare branch though",Neutral,More choice in the Lestersquare branch though.,The customer claims that other stores has a wider range of Lego products.
The best customer service and the only place to get some unique Lego products!,Positive,The best customer service.,The customer found the staff great and was satisfied with the products as well.
We went in to buy a gift for my nephew and Dylan was super helpful and honest.,Positive,Dylan was super helpful and honest.,The customer found the staff helpful.
Love lego bit expensive but too be expected from own store wonderful displays,Negative,Love lego bit expensive.,The customer found the prices to be too high.
I. Love. LEGO. Period. Need a towel to wipe the drool as I leave the store...,Positive,I. Love. LEGO.,The customer loves Lego and finds the store experience exciting.
Great customer service big thank you to Callum was very engaged and helpful..,Positive,Great customer service big thank you to Callum.,"The customer was satisfied with the staff and highlighted the helpfulness of Callum, one of the employees."
"Lots of pieces to look at, big and small, something for everyone to look at.",Neutral,Something for everyone to look at.,The costomer thinks that everyone can find a Lego set for their prefferences.
"Lovely fun store , fantastic staff , would recommend suitable for all ages .",Positive,"Lovely fun store, fantastic staff.",The customer found the store great for all ages.
"Some staff were nice, I think some were on edge that I'd steal something 😂",Negative,I think some were on edge that I'd steal something.,Some of the staff suspected the customer of shoplifting.
"A great lego store, very friendly staff that are always up for a lego chat.",Positive,"A great lego store, very friendly staff.",The customer found the staff very friendly and talkative.
Great for Birthday presents and quick shop. The staff is helpfull as well.,Positive,Great for Birthday presents and quick shop.,The customer was satisfied with the helpfulness of the staff and highlighted that the store is great for quick visits.
